rating,title,text,date,source_store,review_id
1,,Very bad experience with Groww. The customer service is extremely poor and issues take too long to resolve. I have been waiting for a solution but keep getting delayed responses without proper updates. Very disappointing support experience.,2026-05-14,play_store,4e8b41ff-db34-41d7-98d7-c2fdcd0088a5
1,,wrost app paise kha jayega not benefit,2026-05-13,play_store,edd2e162-ab1e-4268-b00c-8c35ff22afae
5,,Best app for mutual fund and stock investments. You can track the performance of your mutual funds and stocks on a daily basis.,2026-05-13,play_store,0f253ccf-f6f7-47f9-9d09-ec165463cb41
5,,good and trusted app.safely investments stocks and mutual funds.thank you groww app.,2026-05-13,play_store,c0c31e69-f0ec-4a9a-b0d1-d341e4f7d62c
1,,"other brokers give Daliye sip, weekly sip in Mutual fund...but groww do not provide",2026-05-13,play_store,235e8953-a109-4173-b3f8-8fa2054504a5
5,,"Its streamlined onboarding process, advanced portfolio analytics, and real-time market insights significantly enhance the overall user experience for both novice and seasoned investors. Furthermore, the platform’s robust security architecture and transparent fee structure contribute to its credibility and widespread adoption among millennials and Gen Z investors. However, despite its operational excellence, occasional technical latency during periods of heightened market volatility and comparati",2026-05-13,play_store,e7e2fa52-433c-481b-ba87-eaf89850e8cd
3,,"Request Groww Team to add Trigger price in buying... Limit, Market is there.... please add trigger option in buying....",2026-05-13,play_store,452f2c31-d4b4-456b-923e-56c47fa092c9
5,,Kindly add manage beneficiary option in UPI Bank transfer module. I'm unable to delete the beneficiary. this would be very helpful to manage beneficiaries.,2026-05-13,play_store,5bdb7e09-e9ad-4a35-9388-f674c2c12003
5,,One of the most user-friendly app interface.,2026-05-13,play_store,db87fdee-6367-4266-be60-d841a10a68ae
5,,grow aap is very good but charges is very high,2026-05-13,play_store,0dbd19d1-db55-401f-9282-a8dd3b80c835
1,,stop giving ad's on youtube. YouTube ad's have become intrusive and if you continue to show me your ad's on youtube then I will stop using your application. seriously I will close my account.,2026-05-13,play_store,42077721-d37a-4c46-93f7-d170985e8364
5,,easy to use and given time to time notification,2026-05-13,play_store,c2b2b84f-ade0-4f13-81be-4e74d12b8f8c
1,,this is not good features only buy and sells charge extra,2026-05-13,play_store,3bb2989d-368a-46ae-901b-2e03d41fc0bc
1,,"I chose Groww expecting transparent pricing, but my experience was the opposite. The final charges were much higher than anticipated, and I did not clearly understand the full cost before executing the trade. Platforms handling financial transactions should make all fees prominently visible before order confirmation.",2026-05-13,play_store,631b82de-76a7-4ff5-aea3-82e13eac6273
5,,User friendly Best App. need some more accuracy between 9am to 915am. other apps are showing the individual stocks price variations every second. but Groww shows after 9:07am or 9:15am .,2026-05-13,play_store,61c88491-1fa9-4ab1-a7f9-6e68187d259d
2,,why the expens ration is higher than other platforms for the same mutual fund category?? on groww it is showing much higher than other platforms like indmoney....... please confirm,2026-05-13,play_store,b5ffedca-cdb1-41e2-808a-9c426b7249ab
1,,very bkwass app don't use for trading so many brokerage and glitch don't use grow you can use delta exchange it's not promotion it's reality,2026-05-13,play_store,fbe5daad-2fb6-4579-8525-61671dba7cce
5,,Ease of doing and accessible Excellent service,2026-05-13,play_store,15f6fa30-ea2b-4517-86b6-b5feb532a72d
